feature,mean_importance
count_families,-0.0011856050673541008
has_superstructure_other,-0.0005797310796185285
ground_floor_type_m,-0.0002770665501802938
legal_ownership_status_r,-0.0002693335545528308
has_secondary_use_other,-0.00021283435007561912
position_j,-0.00011950390135861966
plan_configuration_o,-0.0001184222005069957
legal_ownership_status_a,-6.593220655173315e-05
has_superstructure_rc_engineered,-6.158395339281864e-05
position_t,-5.3072897661277094e-05
other_floor_type_x,-3.141288539938447e-05
has_secondary_use_health_post,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
plan_configuration_n,0.0
plan_configuration_s,0.0
has_secondary_use_use_police,0.0
has_secondary_use_gov_office,0.0
land_surface_condition_t,8.379618228415708e-07
plan_configuration_m,8.35677984349914e-06
roof_type_n,9.087528378803889e-06
has_secondary_use_industry,1.3349242914917348e-05
plan_configuration_d,5.827467924850449e-05
plan_configuration_f,5.9726767262735514e-05
plan_configuration_a,7.076032612565175e-05
position_o,7.49349696992585e-05
plan_configuration_q,9.202205099412275e-05
has_secondary_use_hotel,9.523270586304644e-05
plan_configuration_c,0.00011960658675125302
land_surface_condition_n,0.0001993569943354645
other_floor_type_s,0.0002266225331849725
ground_floor_type_z,0.00026334688145557283
has_superstructure_rc_non_engineered,0.0002966661787007885
has_secondary_use_agriculture,0.00034032995686776867
foundation_type_u,0.00042065842584433356
has_secondary_use_rental,0.0004363148156914409
legal_ownership_status_v,0.0005150917695595058
foundation_type_w,0.0005267740708862157
position_s,0.0005337148840707018
legal_ownership_status_w,0.0006715813565062012
ground_floor_type_f,0.000714021041422952
has_superstructure_cement_mortar_stone,0.0007543288452274144
has_superstructure_adobe_mud,0.0008241031096278162
land_surface_condition_o,0.0008613808409502433
roof_type_q,0.0009622409517469511
ground_floor_type_x,0.0009626652182835871
plan_configuration_u,0.0012122628819069225
other_floor_type_j,0.0013129019332322577
height_percentage,0.0016176798420755479
has_secondary_use,0.0016257360099115603
has_superstructure_mud_mortar_brick,0.002115766051834722
foundation_type_h,0.0022782182662480777
has_superstructure_bamboo,0.002331194123247049
has_superstructure_timber,0.002502963861063723
foundation_type_i,0.0029082183282669095
other_floor_type_q,0.0029872214783456474
area_percentage,0.0033137234555080664
roof_type_x,0.003495210440894314
has_superstructure_stone_flag,0.004242449682369531
count_floors_pre_eq,0.004277748200900033
ground_floor_type_v,0.007589145989490831
foundation_type_r,0.009275992452825866
has_superstructure_cement_mortar_brick,0.009605806833695251
geo_level_3_id,0.011331557444050367
has_superstructure_mud_mortar_stone,0.012212398972308924
age,0.014418487887115927
geo_level_2_id,0.041085703237752805
geo_level_1_id,0.26025223145932347
