feature,mean_importance
foundation_type_w,-0.0008092970921981691
has_superstructure_rc_engineered,-0.0004009844052451861
land_surface_condition_o,-3.243608724141644e-05
legal_ownership_status_v,-2.162595877854834e-05
plan_configuration_c,-2.060906474388169e-06
has_secondary_use_rental,-1.599590245371374e-06
position_o,-1.2879259311260327e-06
has_secondary_use_institution,0.0
legal_ownership_status_r,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
plan_configuration_f,0.0
plan_configuration_m,0.0
plan_configuration_n,0.0
plan_configuration_a,0.0
plan_configuration_o,0.0
plan_configuration_s,0.0
has_secondary_use_use_police,0.0
has_secondary_use_school,0.0
ground_floor_type_m,0.0
has_secondary_use_other,5.561842288437369e-06
plan_configuration_u,9.163760649144593e-06
position_j,1.011700959601125e-05
ground_floor_type_z,1.6665945167693152e-05
has_superstructure_cement_mortar_stone,2.1389915174196972e-05
legal_ownership_status_w,2.302436177303857e-05
legal_ownership_status_a,2.463478544347808e-05
other_floor_type_s,3.490727735830923e-05
has_secondary_use_hotel,3.532951889717584e-05
plan_configuration_d,3.667665795750175e-05
has_secondary_use_agriculture,3.879047555073178e-05
plan_configuration_q,5.07468298816427e-05
land_surface_condition_n,5.741572144786211e-05
land_surface_condition_t,6.168648908437824e-05
other_floor_type_j,6.95458938967608e-05
position_t,7.691144973374087e-05
has_superstructure_other,8.508308836783219e-05
ground_floor_type_x,9.689455777632805e-05
other_floor_type_x,0.00011046142137418613
has_superstructure_timber,0.00016348034950741663
position_s,0.00018613032657492922
foundation_type_u,0.00019848196673004636
roof_type_n,0.00030506827921981115
has_superstructure_rc_non_engineered,0.00032712693187075814
has_superstructure_adobe_mud,0.00034508683897509495
area_percentage,0.000518750819118341
has_superstructure_mud_mortar_brick,0.0005301356522412704
ground_floor_type_f,0.0006054085345414961
foundation_type_h,0.000670218881168494
count_floors_pre_eq,0.0006776108870299557
has_secondary_use,0.0006958795182295141
count_families,0.000743422373057534
geo_level_3_id,0.0007940125909942531
roof_type_q,0.0008607803692704863
has_superstructure_bamboo,0.0013594982446961223
height_percentage,0.0013987798353072068
roof_type_x,0.0016173976366557375
has_superstructure_stone_flag,0.0017754202729517888
age,0.002600097490257691
other_floor_type_q,0.003443457964519303
foundation_type_i,0.0051322519651322285
has_superstructure_cement_mortar_brick,0.006020168486202704
ground_floor_type_v,0.006328379795034755
geo_level_2_id,0.008678605982673315
has_superstructure_mud_mortar_stone,0.022412036303710157
foundation_type_r,0.030955007390683974
geo_level_1_id,0.13909974122542146
