feature,mean_importance
plan_configuration_c,-0.001636998914927168
has_superstructure_cement_mortar_stone,-0.001142345777153908
other_floor_type_j,-0.0009618685659020798
legal_ownership_status_a,-0.0008932478807866185
count_families,-0.0007769333161413039
has_superstructure_rc_engineered,-0.0007565568134187961
land_surface_condition_n,-0.00031750602331006574
has_superstructure_rc_non_engineered,-0.0002458713430910864
legal_ownership_status_r,-0.00012371529303487617
ground_floor_type_z,-6.709087639444889e-07
plan_configuration_n,0.0
has_secondary_use_institution,0.0
plan_configuration_m,0.0
plan_configuration_a,0.0
has_secondary_use_school,0.0
ground_floor_type_m,0.0
has_secondary_use_industry,0.0
has_secondary_use_use_police,0.0
has_secondary_use_gov_office,0.0
has_secondary_use_health_post,0.0
plan_configuration_f,2.1438513696225846e-05
has_secondary_use_rental,3.498721979562358e-05
plan_configuration_q,3.947669975465917e-05
roof_type_x,0.00011039271019404051
land_surface_condition_t,0.00011217624098067703
has_secondary_use_hotel,0.0001362792613916586
foundation_type_w,0.0002739463351667526
land_surface_condition_o,0.0002895621050149844
foundation_type_h,0.0002949079494924289
legal_ownership_status_w,0.00030018376186493614
plan_configuration_d,0.0003953070174903095
plan_configuration_o,0.00046059238314630766
plan_configuration_s,0.0004929858975112999
other_floor_type_x,0.000544940713606823
foundation_type_i,0.0005780639179051361
has_secondary_use_other,0.0006327698884532662
has_secondary_use,0.0007165440602228568
position_t,0.0010006120247766591
has_superstructure_other,0.0010826477328315987
other_floor_type_s,0.001113472262024917
foundation_type_u,0.0011415304822848028
ground_floor_type_f,0.0011622515652329301
has_secondary_use_agriculture,0.001169202103093303
ground_floor_type_x,0.0013013590030372501
position_o,0.0016266808788292452
legal_ownership_status_v,0.001702095005102522
foundation_type_r,0.0017967628004030179
has_superstructure_mud_mortar_stone,0.00184389083180585
has_superstructure_cement_mortar_brick,0.0018877922128886615
plan_configuration_u,0.0023048020973801984
roof_type_q,0.0023647227786481873
position_j,0.0023965894613415806
has_superstructure_bamboo,0.002471953835152152
area_percentage,0.002630595365911792
position_s,0.0027102013636380873
roof_type_n,0.0027944905053824743
other_floor_type_q,0.0029905761187896786
has_superstructure_adobe_mud,0.003438343937695065
plan_configuration_o_sum_geo_level_1_id,0.005152920631971258
ground_floor_type_v,0.005158774237800446
has_superstructure_timber,0.005764200174436041
has_superstructure_stone_flag,0.005899026578478539
has_superstructure_mud_mortar_brick,0.006495259295776523
count_floors_pre_eq,0.007489043104834914
plan_configuration_a_sum_geo_level_1_id,0.009574973100330708
foundation_type_i_sum_geo_level_1_id,0.009674351991899366
height_percentage,0.012539581296686132
geo_level_1_id_diff_has_superstructure_rc_non_engineered,0.013221075384412018
age,0.014466375029273393
has_superstructure_rc_engineered_sum_geo_level_1_id,0.01583715370101859
geo_level_1_id_diff_foundation_type_r,0.01650306080728776
geo_level_3_id,0.017788247760105923
geo_level_1_id,0.017965098018199278
has_superstructure_cement_mortar_brick_sum_geo_level_1_id,0.01855145831238485
roof_type_x_sum_geo_level_1_id,0.022068761487491505
geo_level_1_id_diff_has_superstructure_mud_mortar_stone,0.024390298128686892
geo_level_1_id_diff_ground_floor_type_m,0.03320842872951184
geo_level_2_id,0.07920677186381075
