feature,mean_importance
roof_type_x,-0.0007932609735129103
area_percentage,-6.427389335399436e-05
plan_configuration_a,0.0
legal_ownership_status_w,0.0
legal_ownership_status_r,0.0
other_floor_type_s,0.0
land_surface_condition_n,0.0
has_secondary_use_rental,0.0
plan_configuration_q,2.2204460492503132e-17
other_floor_type_q,2.2204460492503132e-17
ground_floor_type_m,2.2204460492503132e-17
has_superstructure_mud_mortar_brick,2.2204460492503132e-17
ground_floor_type_v,2.2204460492503132e-17
has_secondary_use_use_police,2.2204460492503132e-17
plan_configuration_o,2.2204460492503132e-17
has_superstructure_rc_non_engineered,2.2204460492503132e-17
has_secondary_use_institution,2.2204460492503132e-17
has_secondary_use_school,2.2204460492503132e-17
land_surface_condition_o,2.2204460492503132e-17
land_surface_condition_t,2.2204460492503132e-17
height_percentage,2.2204460492503132e-17
geo_level_3_id,2.2204460492503132e-17
has_secondary_use_gov_office,2.2204460492503132e-17
has_superstructure_bamboo,2.2204460492503132e-17
plan_configuration_s,4.4408920985006264e-17
plan_configuration_n,4.4408920985006264e-17
plan_configuration_u,4.4408920985006264e-17
plan_configuration_m,4.4408920985006264e-17
plan_configuration_f,4.4408920985006264e-17
plan_configuration_c,4.4408920985006264e-17
ground_floor_type_z,4.4408920985006264e-17
has_superstructure_rc_engineered,4.4408920985006264e-17
legal_ownership_status_v,4.4408920985006264e-17
has_secondary_use_agriculture,4.4408920985006264e-17
ground_floor_type_f,4.4408920985006264e-17
roof_type_q,4.4408920985006264e-17
foundation_type_h,4.4408920985006264e-17
foundation_type_u,4.4408920985006264e-17
has_secondary_use_industry,4.4408920985006264e-17
position_o,4.4408920985006264e-17
has_secondary_use_hotel,6.661338147750939e-17
has_secondary_use_health_post,6.661338147750939e-17
has_superstructure_stone_flag,6.661338147750939e-17
has_secondary_use_other,6.661338147750939e-17
roof_type_n,6.661338147750939e-17
ground_floor_type_x,6.661338147750939e-17
plan_configuration_d,6.661338147750939e-17
position_j,6.661338147750939e-17
position_t,6.661338147750939e-17
other_floor_type_j,6.661338147750939e-17
position_s,6.661338147750939e-17
has_superstructure_cement_mortar_stone,8.881784197001253e-17
has_secondary_use,8.881784197001253e-17
other_floor_type_x,8.881784197001253e-17
has_superstructure_other,8.881784197001253e-17
legal_ownership_status_a,1.1102230246251565e-16
has_superstructure_adobe_mud,6.427292327630952e-05
count_families,0.00015664208699412986
has_superstructure_timber,0.0004893224503959237
age,0.0010167040087258438
foundation_type_w,0.002347428006243213
geo_level_2_id,0.003193249038574697
foundation_type_i,0.0032120005663764718
count_floors_pre_eq,0.009185345688020896
has_superstructure_cement_mortar_brick,0.009737585955961215
has_superstructure_mud_mortar_stone,0.020283388741100715
geo_level_1_id,0.06984925540759754
foundation_type_r,0.083245549941973
