feature,mean_importance
plan_configuration_s,-0.00042559926881049483
position_j,-0.00039933214355534206
ground_floor_type_m,-0.0003896547031983832
has_secondary_use_hotel,-0.00034202989688487674
legal_ownership_status_r,-0.00024251268231625377
land_surface_condition_n,-0.00017243808200211318
legal_ownership_status_w,-0.00014241345124708094
plan_configuration_o,-0.00013944047384635284
land_surface_condition_t,-0.00010817636293005694
plan_configuration_c,-7.074068450925175e-05
foundation_type_i,-3.0387550638466544e-05
has_superstructure_other,-2.3122274250364504e-05
plan_configuration_m,0.0
has_secondary_use_health_post,0.0
has_secondary_use_use_police,0.0
plan_configuration_a,0.0
plan_configuration_f,0.0
has_secondary_use_gov_office,0.0
plan_configuration_n,0.0
has_secondary_use_industry,7.682680769627304e-06
ground_floor_type_z,1.75916613755156e-05
has_secondary_use_institution,2.3339163805058406e-05
has_secondary_use_school,3.267245146376663e-05
has_secondary_use_agriculture,0.00016730513082829912
plan_configuration_q,0.00017427933007747588
position_o,0.00023147347060870072
plan_configuration_d,0.00030289931922675704
has_superstructure_mud_mortar_brick,0.0003630688806424365
legal_ownership_status_a,0.0006779528304865279
foundation_type_u,0.0006786803498165961
other_floor_type_x,0.0008357793315335815
legal_ownership_status_v,0.0009698257167506386
foundation_type_h,0.001037097395040476
foundation_type_w,0.0010573815108107175
plan_configuration_u,0.0010940446589990493
has_secondary_use_other,0.0011697726084160865
has_superstructure_rc_non_engineered,0.0012096649214865974
ground_floor_type_f,0.0012356000933966271
has_superstructure_rc_engineered,0.0012700967364045023
has_superstructure_bamboo,0.0012706513251587337
roof_type_n,0.0013600953514961932
ground_floor_type_x,0.0014292921512641054
has_superstructure_cement_mortar_stone,0.0015320714382120126
position_t,0.0017992488508812299
land_surface_condition_o,0.0018494316576561642
position_s,0.001850580270117841
has_secondary_use_rental,0.0019048630893322206
roof_type_q,0.0021987347159338365
other_floor_type_s,0.002273776490957191
has_superstructure_adobe_mud,0.0027286970845602056
has_superstructure_stone_flag,0.0031554265399575065
other_floor_type_j,0.0038557813339125113
has_secondary_use,0.0038684774270834723
ground_floor_type_v,0.004275074421619607
count_floors_pre_eq,0.004284104364689667
roof_type_x,0.005152973717046283
height_percentage,0.006680018871338222
area_percentage,0.007094051399384527
has_superstructure_cement_mortar_brick,0.007280182324258288
other_floor_type_q,0.007321560424766438
foundation_type_r,0.007723260081643124
has_superstructure_timber,0.008392546450651527
count_families,0.010841790747064683
age,0.021534415902944158
has_superstructure_mud_mortar_stone,0.025572253234446916
geo_level_3_id,0.031553728092233405
geo_level_2_id,0.10171094843339654
geo_level_1_id,0.29875765323859377
